Index,Body
203,ppl company supply chain management leading department ppl outsourced development company new feature ideal imaginative world user test real case test system verified developed according need developer deploy feature live system reality people super busy want time spend test system people reluctant change improvement adoption growing slowly gradually use case thought discovered deployment live system need fixed urgent priority base note small company team understand junior ceo requires cto understand business process come solution tried involving team planning idea generation outcome poor note currently shifting waterfall pm method agile scrum clean switch process partial improvement new feature deploying live recorded screen video explaining demoing new feature created user account test system key team member shared requirement documentation planning phase key team member created screen design wireframes team running issue mentioned busy people contribution planning phase fix change request deployment live catch use case project planning phase people involved early development
204,best answerable question discussion perfect question think fit overall guideline looking best practice best find agile sprint cadence multiple team different time zone pst ist new group managing team management team pst remaining team ist framework agile utilizing scrum xp define process user story story point etc use azure devops run week sprint inheriting existing cadence managing organization strict policy sprint date sprint required start sunday effectively monday end saturday effectively friday deployment team team kick sprint schedule sprint run wednesday tuesday retrospective review refinement tuesday day sprint sprint planning wednesday day sprint existing cadence wednesday pm pst grooming sprint planning thursday pm ist thursday pst sprint planning actually group coordination meeting actual planning expected occurred friday pm ist friday pst deployment retrospective friday pm ist sprint planning monday ist sunday pm pst sprint begin problem encountering cadence ist folk basically attending planning meeting thursday ready wait deployment retrospective planning ready discussion monday pst problem pst team fully know planning sprint progress carryover story friday immediately impact sprint plan wednesday tremendous churn day sprint prioritization planning occurs think ideal team backlog refinement deployment retrospective friday day sprint team sprint planning day sprint monday tuesday evening ist morning pst sprint planning coordination review meeting pro pst team know actual state work deployment occurred able plan accurately ist team plan accurate meeting rest team con ist team completed day sprint coordination meeting monday tuesday option pst team sprint planning friday ist team monday overall meeting monday pst
205,team decided work item sprint story mean development story result product increment sprint contains story integration testing user acceptance testing research pre development work sprint review scheduled end sprint far stakeholder available po division director attends completed story reviewed demonstrated resulted review agenda time actually inspect product increment shown chart spreadsheet word document asked manager dev manager po limit review item result product increment told mean developer review story non developer feel left agile people process completes story review demo argument convince management limit review product increment wrong
206,mandatory prerequisite start sprint product owner make decision start sprint scrum master's development team role making decision scrum master coach general term decision provide specific guidance
207,new project management question cluster project identify watching link tutorial look like deadline scheduling know sure help understand
208,identified middle sprint complete agreed user story product owner business user resisting accept spill unfinished work team agree work extra hour complete work
209,manager asking green lighting new project people resource project maintain ie fix bug deploy new feature demand adapt changing business process etc able evaluate based history project avg number bug happening production evaluate process change new management request new business opportunity scrum metric use calculate rule thumb rely
210,scrum estimated story point completing user story sufficient estimate taken task level
211,note pm technical manager temporarily overseeing project pm spun pair independent contractor mike vern performing design development work respectively good individual contributor hard working smart hungry lack foresight caution time past year forced ask money bug incomplete requirement unguarded customer change etc guy good performer self manage past week requesting regular update planning session planning session come executing plan slows status get reported meeting ducked pto get taken fall apart seen communication like minute waiting permission slows real problem reporting predictability need people medium term long range planning want managed
212,project plan orchestrates multiple activity couple hour task dependency like drive execution based plan orchestration plan faced situation report task completed colleague inform task completed based completion task task start manually checking dependency column know task start differently create list task start task prerequisite fulfilled started
213,newbie project wondering point right direction tell barking wrong tree way constrain resource project expected work time project given task given day example 10-hour day resource work task1 hour task2 hour starting day work task1 hour task2 possible look configure rule difference configuring unit specific resource altering unit resource specific task thanks advance input
214,role team project leader scrum organization team project leader communicate po customer help team find solution help po define direction help deliver complete solution team leader find scrum send position team
215,according wikipedia recommended hour meeting week sprint planning pro rata sprint duration necessary
216,asking member agile scrum team pm po scrum master project handful known impediment problem thing recurring theme sprint developing software want detail anonymous ish example house renovation project client decision layout want kitchen receive sample 3rd party supplier 3rd party supplier keep delaying unknown reason different supplier reason start building cabinet layout example sort impediment mean head dead horse topic beating dead horse tried solve mitigate control accepted team resolve point hurting productivity sprint progress building cabinet client able specify layout want wasted lot time mocking design idea real idea wanted rejected design retro sprint week went better etc people calling dead horse topic retro genuine impediment thing generally met collective eye roll groan like unspoken yeah pretty main thing gone wrong fundamental result dead horse topic ruled discussion retro allowed bring subject layout requirement 3rd party dragging foot went badly discussion feel like bit elephant room sorry animal metaphor question standard good practice facilitating retro censor known issue like coming standard approach subject known dead horse issue problem know resolve addressed
217,following question psk assessment flow metric forecast work item date throughput work item age wia cycle time ct work progress wip statement question tricky hard answer forecasting work item date daily base forecast specific date valid answer help reference doc key flow metric use scrum event kanban guide scrum team
218,developing software project plan referencing template define purpose section describing purpose project plan purpose product project plan developed purpose section describe a. purpose project plan example plan b. intended purpose end product template
219,exact definition spock like subject matter expert person max consultant given technical subject
220,context work senior development staff medium sized startup fintech sector tech team running capacity time address feature thrown way chairman board code hobby decided produce rest api service free time demand production politely decline request clear management acceptable early feedback received right thing practically free labour flip rewrite great code test follow convention etc
221,research managing sprint cadence align team time zone came n+1 describing day sprint able find definition numbering convention work example wanted grooming session day sprint planning day beginning sprint n-2 n-1 respectively day sprint n0 n0 grooming day source convention looking best practice reference sprint demo retrospective planning sequence offshore team
222,assigned resource task project assumes resource available work hour day day week case schedule resource work maybe hour day hour day finish task finish date looking track actual hour compared budgeted hour earned value analysis planned value task way high accurate analysis resource scheduled time work
223,trying create project duration calculated month eg project start m1 month january shall finish m24 month december year scenario adding new task task mode auto start project duration emon result finish fri correct scenario adding new task task mode auto start project duration emon result finish fri expected missing calculation
224,building big important feature scrum team pm want feature separate branch deploy month user test properly release strangely waterfall think agile like scrum master suggest splitting feature smaller piece release frequently
225,read new technique agile development named impact mapping developed gojko adzic main idea building map business goal project acters able deliver goal change behavior help reach goal finally deliverable starting agile story help keeping concentrated matter delivering value question idea build mvp method mvp goal
226,hide value enterprise lookup table available selection project value shown varies project project macro written run automatically project opened project filter value shown
227,"create catch plan,30 day look ahead schedule curve project"
228,working project faced issue msp project value like planned value bcwp bcws task shown filling properly wondering forgotten thank
229,scrum team story require work team work required team defined parallel want asking team engage development process discovering requirement impact planning validating delivering team autonomous requires team trusted deliver story sprint team size story size deliver sprint take responsibility delivering team depends team team start work time work efficiently work end crossing boundary single sprint efficient work appropriately sized sprint delivered time sprint example competing priority work progress depending team team lost autonomy trusted held responsible delivering story called scrum team surely scrum team depend party time team manage dependency
230,typical master production schedule mp need produce need produce need item issue arises reality job factory plotted like mp job shop job unknown production rate different specification size design machine etc basically job unique way job know exactly produce day working job finished mean mp shown going practical application information provided think shown information set job start producing depend deadline needed produced good production schedule type job assuming job eyeball like example shown
231,try simplify question avoid story telling start new sprint delivering sprint include item sprint undeliverable sprint product facing flexibility problem client say change framework time way want argues scrum predicts flexibility like know scrum way deal 'cause scrum guide find
232,suppose user story divided multiple task task dependancies sure productivity stay stable read slice user story vertically split user story vertical slicing work
233,junior project manager working unfortunately lot work lately slow come small spurt know junior pm getting bored super busy view nice needed break eager learn grow feel like adding value wondering developed small project team work time advice additional work wait project organization process setting true pmo department currently housed department employee year pm experience help develop pmo document project plan status report raci template etc organization use helping project current lull number training struggling think additional work mention new managing sure
234,asked provide estimate piece work assuming mean rough estimate link mean specifically actually find reference web site
235,"written code custom field product_task value selected field sfdc product option work let know suggestion sub cutom_lookup dim customfield long dim message string dim fieldvalue string dim finalvalue string dim stringer string dim variant customfield fieldnametofieldconstant(""sfdc product pjproject fieldvalue activeproject.projectsummarytask.getfield(customfield finalvalue split(fieldvalue dim integer dim lookupfield long lookupfield fieldnametofieldconstant(""product_task pjproject product_task text custom field task level created locally project debug.print lookupfield finalvalue debug.print customfieldvaluelistadd fieldid:=lookupfield value:=i index:=j application.customfieldvaluelistadd fieldid:=lookupfield value:=i debug.print successful end sub"
236,project web app pwa setting personal setting link manage alert reminder present additional server setting checkbox turn notification selected manage alert reminder appear project web app pwa setting
237,working scrum familiar word product owner product backlog product
238,product following structure website io android mobile apps backend common code component change piece code inside place change appear component time bug website requires change common code test mobile apps sure broke release component released look like ineffective way release like release product separately pace compromising quality idea
239,worked high tech software development industry struggle form answer interview question interview question intends learn contributed technically project role architect engineering manager tech lead etc team help solving technical challenge rarely needed solve challenge sort prefer present answer way interview suggestion pointer approach question
240,general agile developer pm want create minimum viable product mvp iteration user iterate improve reconcile need new house developed app replace 3rd party app currently use new app need old turn existing product new meet need cue year development mvp ready
241,responsible product need agile hard developer responsible thing correct delivered asked promised developer want work agile methodology better
242,fibonacci sequence assist developer project estimate concern consistently management use point derived fibonacci sequence estimate determine project velocity importantly developer efficiency make obvious sense considering point given project estimate methodology estimate velocity remark trend problem evident consider developer easily demonstrate week sprint crushed point worth point backlog task reasonably sprint single task developer defend velocity dropped better project estimate irrelevant considering point fibonacci scale provide sense exponential effort task task task difference case developer actually underestimated management quantitatively see dip performance team need define different point mean concrete definition team come consensus time task take task start trying time frame defeating purpose agile project estimate methodology refer flat time estimate management need understand point exponential point achieved sprint compared point sprint necessarily mean velocity went going trouble measuring velocity relative anyways going management understand complexity task happened sprint use point system consistently measure velocity safe wo nt developer start overestimating point cash point sprint ifs depends sound agile
243,halsey plan rowan plan time based incentive wage plan tried check possible benefit worker work quickly standard time halsey method reasonable tried find numerical profit rowan plan worker penalized simplified benefit worker getting incentive plan negative rowal plan
244,brought organization improve release management couple year ago went transition agile development work stream run improve boot ground run release management team ensuring sprint run time user story azure devops sprint increment planning generally etc keeping thing moving way arrived higher level improve manager appreciate roadmap improving thing collecting data team run sprint writing feature user story grooming lack thereof sprint planning lack thereof etc need ass health engineering process currently recommendation better state moving forward context team grooming weekly story written criterion included prioritized include work effort needed observed story carry future sprint team add upwards story day grooming poor story development missing criterion sprint planning large meeting include detailed work effort task level estimate workload generally accurate team similar question assessment analysis methodology best need swot
245,software team work small task task take week developer performance twice bigger level everybody writes time spent task jira end week jira difficult find task easier somebody work slower thinking way introduce kind metric measure performance determine developer need help developer instead provide help want track team performance time increasing problem task standard differ task different time problem difficult know time spent effectively time spent
246,developer backlog jira assigned grooming jira contains short description requirement acceptance criterion problematic sentence point document find additional information specification document located following link scrum lead raised concern way requirement modified later stage jira pointing document according complete requirement defined jira want ask product owner architecture team confirm comment jira document page long fully posted jira politely ask comment jira point requirement document attached url po senior guy want ask diplomatic way
247,started actionable agile lately tool essentially agile metric cycle time throughput monte carlo predictability etc know translate data useful project manager stakeholder necessarily understand agile metric predict long number story day useful predict date progress story complete provide ongoing basis
248,existing project team attaching task directly epic like introduce story workflow number key date epic feature like pm able add date owner description field hitting like use case project different milestone date owner etc accomplished
249,looking capitalizing agile development cost team different maturity level team us time estimation relative ease team use story point let varying success want avoid disrupting team existing method possible like use story point time estimate basis capex opex ratio suggested internally team input actual value story point time task completed ratio based pure estimate wondering basing ratio story point team time estimate team sit finance auditor anybody implemented kind dual track capitalization provision estimated time story point
250,pardon question kind newbie question appropriate new technical lead bit confused db schema perfect working small team person fresh graduate experience year working new product documentation schema designing week hard work documentation schema complete schema passing fulfilling major functionality mentioned documentation question ensure left handle scenario occur future
251,agile team need technical lead technical lead technical knowledge project skill team working
252,trying cd sprint release board working board ticket review decide pull release new board tool youtrack flow undone item new board question process look like orgs feeling actual cutting new board mechanical called release got agreed issue trying figure splitting ticket adding feature number place finish split ticket went release awaiting release question team process flowing story cd board mainly feel tool support obvious reality project stack require multiple separate release stupid able link platform sprint currently worked io android backend impossible youtrack waste lot time going forth sprint course single sprint clarity sprint map specific release
253,asked interview scrum master position position remote people company generally work remotely meet week sprint planning etc realistically possible scrum master effective working remotely major difference approach role fill day working totally remotely
254,need write macro reschedule multiple project able able perform action exactly built reschedule option someway use run built function like api hope idea clear
255,study blog post management failure clear priority objective experience day bos give long term deadline discus agree correct deadline development come new super urgents request interfere main development end late deliverable canot reach deadline
256,let working task found bug created new task let task sense impede task
257,new project management trying grasp latest challenge bug reporting created bug reporting form contains standard question summary step reproduce expected result actual result screenshot operating system browser urgency urgency field ranking lowest priority highest included definition ranking assist user selecting correct ranking co worker charge sale frontlines want new priority bug impact revenue bug report category important urgent knee jerk response situation bos want revenue listed ranking factor priority situation concern end situation currently crisis urgent need resource engineering bug reality urgent push revenue generating new feature aside situation advice handle situation
258,person team leaving week flat refusing provide knowledge transfer team member raised manager spoken hr apart releasing early recourse incredibly difficult deal delighted leaving like complete handover acted unprofessionally like consequence job provide handover
259,revising anderson kanban book discus input type like prescribes team work vertically sliced user story pain month question team create vertically slice user story success small technical task original intention kanban small independent user story
260,term swarming commonly found hard find definition different swarming approach range pair programming wip limit broken people work single problem time similarly opinion diverge swarming avoided work working goal asking question range opinion represented different answer goal understand different form swarming form use situation project management style impression swarming umbrella term different way working involving person work single problem precise term different form swarming order avoid misunderstanding added kanban tag add tag swarming kanban context interested general method agnostic definition
261,read box solution auto create watch jira trigger email event way add additional trigger jira secondly outlook trigger create new watch jira
262,working scrum team kanban team month month respectively scrum team shown improvement managed impact management team scrum master measure impact consider giving
263,issue microsoft project making task marked complete view task get set start finish including actual start finish date project start date regardless task sprint date current date set project info status date set project info stand ultimately like use agile function update correctly task moved progress complete running problem gantt chart task board view systemic idea resolve figure case likely missing
264,working organization entirely buy versus build shop prefer implement shelf application build scratch way lifecycle management tool result thing implemented updated day pain outdated application get vendor sends notice 15-year old platform longer supported panic trying find new solution searching sort tooling help situation outset sensible search application lifecycle management tool turned list tool focused development getting product door revision tried bunch term configuration management portfolio management etc came organization manage lifecycles implemented software manage requirement implementation project use tool manage upgrade patch version update know time new application serve business need
265,team working product currently use separate backlog creating story po put proper backlog advance list rough idea story jira priority tracked separate system regularly thinking single backlog scrum prescript practice single backlog create mess like rough story allocated sprint ahead team single backlog mean active sprint pending jira list view hard manage bug team single place additionally special tag understand team responsible backlog huge backlog grooming messy lot people bored grooming team item think missing
266,currently working project called waterfall scrum process completed includes week development week testing team currently team building currently definition ready definition mean strong problem process testing delivery stage problem arise partly late delivery development development stage unclear definition ship different build time unclear circumstance team test start team use unit test functional test team build partially tested product result spiral mistake team staging process partially pre production missing approach suggestion analysis process participant use new global definition ready clearly defines team need standardize staging problem introducing clear structure unit testing allows intervene early stage case misconduct thought point need advice team definition ready remain place global definition ready describe individual stage delivery test day question right approach global definition ready able solve problem delivery testing approach adapt cross team definition ready experienced similar project
267,let suppose po mini project team project consists displaying message announcement big shared screen admin write message page terminal pc laptop mobile device message displayed big screen day confusion come fact sure ask dev team build db right away story us1 admin want write message new page dedicated matter us2 admin want display message big screen us3 admin want display message us4 admin want message saved message displayed soon app opened big screen us4 useful
268,currently wondering difference pmp pmd pro pro con certification help
269,team strictly follows agile core value principle started living agile manifesto mean team mindset changed agile need
270,seen position value assurance manager differs project assurance manager project manager
271,recommendation track roadmaps working multiple team cross team project right work jira spreadsheet useful template tip combining highly appreciated thanks
272,run team io developer backend developer couple month experimenting different way structuring user story sprint generally tried approach breaking feature small bite sized story encompassing feature large monolithic story small technical task tricky end lot blocker story difficult visualize information feature spread story solves centralized source information issue story large overwhelming detail end getting lost coming going revamping onboarding flow io application thought good opportunity try new approach think smaller story worked better larger sure structure lot blocker thinking thing wrong fashion high level terse sake post story user need able signup phone number user need able sign email user need able choose username user need able connect contact user need able login phone email lot dependency ie choose username signed account lot ui element workflow piece shared flow etc thinking differently
273,hopefully help provide insight new agile function project board sprint task set inspecting date start finish time task date incorrect example task complete sprint board view marked complete check task sheet date say start project date despite today task created today show correct date matter task sprint mark complete date show project start date instead date modified checked project information today date set appropriately think problem missing thanks advance help
274,project earned value report report cost earned value report menu line bcwp earned value shallower plotting cumulative bcwp value tracking gantt table excel excel like expect create excel plot toggle summary task copy start finish earned value ev bcwp column new excel worksheet sort start add cumulative earned value column computes cumulative earned value earned value ev bcwp column create line chart date cumulative earned value higher project report know project generates bcwp trace way access data plotting computed
275,sprint jira display total number story point backlog calling estimate number leaf task estimated hour story point make difficult sense load increased task added sprint approach wrap task inside story better approach
276,like discus hear advice pretty common situation develop functionality huge business value customer project customer particularly interested feature completed asap selected appropriate developer task based team current workload experience project vacation schedule team developer started researching problem functionality completely new connected integration party api plugin contains numerous technical business unknown developer initial rough estimate task showed time vacation mvp feature communicated daily basis progress satisfactory felt time vacation developer finish main bulk task team member assist testing absence key developer vacation gathered developer define set action interim developer vacation week planned functionality completed expected developer test interim developer listened explanation feature read code said able continue development feature huge required week research addition unanswered question impede development feature action situation tell client development feature stopped dev went vacation unprofessional earlier order avoid situation
277,existing project file file realized duration task day longer comparing estimation example task duration day starting scheduled finish 5.6.2019 checking resource usage realized project schedule hour day task second day project schedule hour remaining hour schedule day applies task project work starting day task scheduled hour task use fixed duration type automatically scheduled standard calendar working hour day reason project schedule hour day task update project schedule day day schedule default start time project calendar set default end time project calendar set
278,recently managing group people area area average people people monthly report bos faced following problem use online management tool like trello bos approve installing management tool local server require large process revision approval new know exactly work people assign task people developer support staff developer task day support personnel task day actually working simple excel template google drive approved people fill daily work adding row end month lot work review summarize excel file sheet way better manage
279,recently asked inspect kanban system company following difficulty fix working startup company software department developer tester use jira kanban board task initially appear backlog task approved developer assigned moved development developer start working task moved progress send review test deployment phase fails test review moved development moved status large backlog task forgotten better example oldest task year running urgent customer demand important bug developer complain time eliminate work backlog concerned urgent task stall work task team figure handle task -backlog development review task stuck review phase long time simulate test developer willing testing phase prefer working urgent task limit wip constantly interrupted unplanned urgent task pointless limit wip unable limit number task developer work think developer team undersized think lack system like work thing way work far filtering customer requirement backlog redundant task old task offer team deal urgent task stall task
280,scrum team user story complex ambiguous high leg work associated example receive user story replace client page lot manual work required process finding content updating straightforward requires good time complete hour complexity ambiguity task low estimate low cost time factor effectively day work taken trying rationalize mind work come velocity end sprint reasonably cause reduction velocity low estimation work completed better way handle sort story
281,scrum master important role building self organised team removing impediment apart teaching mentoring coaching need self organised team
282,happens time project deadline let example project completed end month manager gone meeting enolved project like add project expects keeping deadline typically meant work item time handle working hour week know like matter suggestion
283,variable measure dealing client important variable dealt client internal external internal depend organization structure power influence authority client manage remotely client culture time motivation country time management polychronic monochronic perception displacement people automation arrives mainly reluctance change case included risk management plan set strategy reduce negative risk found trouble dealing external polychronic reluctant change client tend talk adjust schedule send status report close involved stakeholder case thing work requested appoint project coordinator client thing point person control end user test feedback answer document late order balance situation contingency reserve escalate issue higher authority make thing work faster better creates toxic environment team performing time client follow rhythm excuse weekly remote web conference ridiculous month take client test thing think time world case bos tell increase cost produce change order aggressive say push communication producing weekly report problem getting new project project like stand make forget thing process need review planning project document flowchart design issue log meeting record etc realized project house end user stakeholder coordinator office people communicated vision project tend work track happens culture people need watched tracked case slight delay recoverable time allow close project manage delay external client according previous scenario help engage better kind customer accelerate project
284,work scrum master corporate system related servicenow unlike project ton different internal client finance legal facility contract list go large scale project surge continue support update client issue larger project interconnected owned multiple internal department problem group fully aware getting completed change simply pop prod scheduled deployment realize value delivering know sprint review common way allow client work team completed end sprint client interested work complete fear marathon review demo time context effectively let internal client know work completed value deliver provide feedback
285,joined new team scrum master observed team forecast effort point sprint delivering point feel problem estimate need sure estimate high way control
286,team got dedicated qa developer know role scrum team writing provide information problem heading sprint end sick leave user story need tested business analyst team member test close user story testing background
287,recently promoted senior position responsibility include managing project help overall project company provided person resource senior older happens problem people allow explain look like want listen want learn work bare minimum instance time try explain activity mislead problematic going company want working operational like know experience situation including approach thanks advance time
288,good day research requirement prioritization agile need prioritize functional non functional requirement integrating simultaneously non functional requirement neglected requirement prioritization process impact quality software produced know technique approach applied prioritize requirement agile project thank
289,data analyst assigned small project project usually day week complete example create system query generate list road suitable year asphalt crack seal program unfortunately usually good direction management project like come standard question ask management stakeholder encourage project context direction need successful question resemble like department overall goal problem trying solve happens solve need solve know succeeded follow product withstand test time department goal defined want remind people tie project industry standard question ask good direction management stakeholder
290,sprint planning sprint backlog ready sprint goal set stakeholder want add story capacity deliver team agreed story remove story sprint backlog accommodate new stakeholder refuse remove story sprint backlog explained sprint goal set advised change goal sprint progress handle situation
291,given end date hour willing spend course hour concurrent course project professional spread course evenly day hr course given hour work day want able determine need start studying moment able task sequence
292,need coach new team team consists senior junior member senior say junior attitude problem junior say senior share functional knowledge observation say clearly lack trust member solve thanks
293,team working user story stuck technical issue unable resolve story committed current sprint shall story hold discussing product owner
294,learning management coming software development wondering design tool help user manage software development project come data architecture idea following entity proposed solution follow project company division work multiple project milestone project multiple milestone requirement project multiple requirement multiple requirement grouped milestone task requirement task created developer task multiple requirement task set single developer day subtask checkpoint task multiple subtasks day idea task created template f.e initial requirement analysis required time estimation design implementation test test documentation considering build view show project requirement task tree structure tackle appreciate guidance
295,estimation technique help estimate number needed test case traditional software project example software requirement specification sr use case need test case rough estimation need estimation write test plan project manager fully understand application sr spent little time performing test planning
296,mechanism scrum kanban team use track continuous improvement activity involve cross team collaboration ci improve product management reducing wip epic level involve meeting team mature product management practice thinking create ticket team board pull combined board agile coach view discus weekly like
297,working developer product based software company company worked quality delivered story good bad find subjective standard rule thumb work man hour hour rework defect fixing fine value range quality good quality average quality bad standard rule like standardized depends lot factor like complexity work skill resource etc factor metric consider objectively quality good bad formula take account factor tell quality agree measurement true act pointer work cement subjective view
298,po plan write user story project project send message email formatted according style guide example best perspective write user story case receiver email notification want find new message styled way making identify easily sent acme corp brand manager acme corp want message sent email apply corporate style guide note example waste time email idea wonder perspective useful development team going implement story
299,hoping good example effectively presented raid log individual list risk assumption issue dependency project particular agile scrum project look team pm recently looking better manage raid established method spreadsheet raid log example project smart wondering way proven effective past use jira couple extension available basically use new issue type track risk highly visible risk matrix dependency mapping board found useful past ideally looking creative way getting high visibility participation thanks dave
300,know subjective question general wanted understand metric pm look working software project
301,"use project work want create column multiplies cost work resource cost resource task line excel know use ifs statement work cost ifs(a2=""work b2 b2 figure need project create calculation based type resource need multiple column sum create statement formula formula trying course getting error iif([resource type]=""work"",[cost]*1.05,iif([resource type]=""cost"",[cost]*1.15 thanks"
302,essentially centralized project bit piece project built funding different budget separate billing code created budget want place field issue store job code issue logged hour billed type field think best suited fwiw currently regular text field tedious pm consistently enter code multiple folk ask replace field intuitive user friendly advice appreciated
303,change request pushed client sprint aggressively take final decision need included
304,project server need specific assume following enterprise resource re re like replace single enterprise resource re best approach replace task assignment rename taken care re a. assignment re need reassigned re c. project try replace re re project assignment re b. re renamed re re added project resource pool selected replacement re b. thought
305,agile coach bunch business intelligence engineer data scientist generally speaking different work item type undertake user facing report dashboard business object looker platform related enablement airflow data pipeline aws configuration snowflake s3 work tried managed team work vertical slice impossible essentially work horizontal slice team member working backlog technical task developer constantly work new data pipeline maintain existing data pipeline developer looker bo developer exclusively snowflake related activity etc work marry eventually little user facing value business starting unhappy variable problem complex product management skill team po business person real agile experience ask team embed skill creating dashboard report business user self serve question simple team work agile way slice thing vertically
306,product owner technical background especially correct sense end development process task brief knowledge mvc architecture team us customized architecture blind technical concept end project problem appears want breakdown user story task end team understand task jot order import jira task realize project progressed usually task related user story fact end team told problem mobile team end task pattern predict user story task based understand template pattern end task related hint
307,organisation technical design user story requirement onshore resource usa actual construct development coding offshore development team follow sprint question story point assigned assigned onshore team overall story development effort actual designing gathering requirement week development task completed week question team story point assigned dev effort overall overall timeline designing getting technical requirement understand pure scrum given circumstance estimate different story point design development
308,manage issue planned sprint end change milestone create new issue new milestone biggest problem knowing issue fit sprint appearing report milestone planned
309,use story point estimate user story find story point solve problem underestimating actual work required complete task take complexity task account work team member find hard stop estimating hour especially hurry common question ask burnrate sprint planning meeting believe burnrate accurate person calculate estimate based solely hour want change help team compare task estimate includes complexity work instead calculating hour multiplied burnrate
310,want create kanban board project column people name analyst team column show card created reported analyst quick card track card easily find map status reporter
311,new company msp change management combination project server portfolio management know integrated way promote project milestone portfolio relevant milestone generate portfolio wide milestone gantt chart promoted project milestone regard flo
312,story want uniformity product suite jar file product consider add original product today different version different product java java compatibility concern customer wo know feature run software product said earlier usual latest version add feature customer facing non customer facing internal update count feature
