Index,question,PMBOK_Area_1,PMBOK_Area_2,PMBOK_Area_3,ProcessGroup,Technical vs Managerial,Knowledge vs Scenario
3995,"Microsoft Project: How to represent salaried employees? I can't figure out how to represent salaried employees in Microsoft Project. I created a 24 month schedule, and assigned a $100/year resource to a 12-month task. I ran into two problems: I expected the cost of the task to be $100, but it was $92.31. I was not charged for idle resources (the remaining 12 months), but I should have been. How do I correct this? UPDATE: I figured out #1. Project calculate durations in terms of 7 days per week, 4 weeks per month. When you enter a duration of 12 months you're actually getting 336 days, not 365, hence the difference between the resource's annual cost and task cost over 12 month.",cost,res,-,e,0,-1
727,EOT and LOT vs EET and LET Are the Earliest Occurrence time and Latest occurrence time same as the Earliest Event time and Latest event time or are they different? If they are different can you please explain to me what are EOT and LOT.,sch,-,-,p,1,0
4594,"Software development management for small disconnected team I'm looking for a tool to aid in managing the development and maintenance of a single web app. It will mainly be used by one project manager and one or two external developers. Until now we have been mailing an Excel spreadsheet back and forth for tracking tasks and progress, which is not sufficient for a number of reasons. This project has no formal development methodology, and the tool shouldn't require a lot of knowledge on any methodology. The tool should: Be simple to adapt to Allow the follow operations on tasks: categorizing, activating/inactivating, prioritizing, estimating time needed and scheduling expected completion and required completion Offer email alerts for new critical tasks or changes to critical tasks Be web based, hosted Be cheap or free Allow exporting data for safekeeping Bonus: Powerful enough for future expansions of the team and operations",comm,-,-,e,1,1
4056,"How can I estimate a project's costs without well-defined scope, scheduling, and quality inputs? I work for a private investing firm that is looking to move from a face to face business to online business. They want to create a large, scalable website that can handle thousands of accounts and hundreds of thousands of transactions. They want an upfront general estimate of what this would cost. On investigating this it seems the general consensus is that it is impossible to accurately estimate this without knowing factors of scope, scheduling, and quality. They are not happy with this answer. How can I put together an early cost estimate that is somewhat accurate, and back it up with data I didn't get by throwing a dart at a board and multiplying by $500,000?",cost,-,-,p,1,1
223,"How to make a project use actual months I am trying to create a project where the duration is calculated in Months. Eg. The project starts on M1 (month January), shall finish on M24 (month December next year). Scenario 1: I'm adding a new task. Task mode: auto. Start of the project: Wed 01-01-20. Duration 1 emon. The result is Finish on Fri 31-01-20 which is correct. Scenario 2: I'm adding a new task. Task mode: auto. Start of the project: Wed 01-01-20. Duration 16 emon. The result is Finish on Fri 25-04-21 whereas I expected 30-04-21. What am I missing in the calculation?",sch,-,-,p,1,1
2791,"Who should be responsible for dividing Scrum teams? When dividing 100 people into scrum teams, who should take responsibility for putting individual people into teams, should it be Scrum Master, Product Owner, or should people be allowed to emerge teams on their own?",int,-,-,e,1,0
4535,"How to work with freelancers in a proper way? Note: At first I wrongly posted this question to the original Stackoverflow site Let's say that for a software project I have: a complete project plan; a software requirements specification; a software architecture document; a lead developer; and (me as a project manager). I need to hire 1-4 freelance developers to get different parts of the project done. My plan is to use odesk, elance, etc. to find the needed workers. Then I will set up Redmine or JIRA to organize the workflow (tickets, deadlines, etc.). I am also going to introduce daily email reports on what has been done so far (required from each worker). I will use escrow for payments to these freelancers. I am not going to hire the cheapest freelancers. But before I do that, I would like to know: are there any special things I need to know and to do before I start working with freelancers? are there any best practices to manage such a distributed team of freelancers effectively? does my overall plan look feasible and realistic? (from your experience).",comm,pro,res,e,1,1
3562,"How can I effectively split a team into smaller teams? There's a lot research on team sizes and communication in social groups, but is there any research on how to grow and build multiple teams working on one large product? Assuming that the ""perfect"" team size is 5+-2, how do you choose to break a team that just reached 9 or 10 people into two teams? That is, what would the second team's responsibilities be, how would communication stay fluid? Edit: I guess I didn't word that very well at all... So! I don't have a framework or structure at this point in time. What I was trying to say is that there is a lot of deep research into team size (http://www.noop.nl/2009/04/the-optimal-team-size-is-five.html). But what I'm curious is about how much research is there on business size. That being, the number of teams and communicating between them. The next step after setting team sizes if you will. Examples of team size and social connections that I'm talking about are... http://en.wikipedia.org/wiki/Metcalfe%27s_law http://en.wikipedia.org/wiki/Dunbar's_number http://en.wikipedia.org/wiki/The_Tipping_Point",res,-,-,p,1,0
2367,"Secondary team block primary team due to lack of quality-driven development and WIP limits Where I work, there are two teams of developers. Team A use Kanban and consider quality non-negotiable. They are responsible for developing the client-facing website, part of which contains an important video/media player as an embedded widget. Team B use Scrum and consider quality a lot less than team A. Team B are responsible for creating the aforementioned video/media player. Most of the time, both teams work separate from each other on their projects. Occasionally, team A will integrate a new version of the video/media player, which leads to huge delays dues to bugs in the player (almost always due to no a non-quallity-driven approach). Because team A use Kanban, and therefore have WIP limits, the whack-a-mole bug fixing that takes place on team B blocks their releases. My question is, are there any known ways that team A could attempt to prevent this in future releases where they know they will hit the same issues?",res,-,-,e,1,1
3011,"How much detail should the solution design have in Foundations in DSDM? In the DSDM Atern lifecycle, here. In the foundation phase it states one of the objectives is to: To start designing the solution architecture and identifying the physical or infrastructural elements of the solution. My question is, what exactly does this mean? Does it mean driving into a lot of detail on certain stories if we don't know enough to estimate under 100 points to the point where we may product a prototype to pass the foundation check point?",sco,-,-,p,1,0
1371,"% Allocation in MS Project gantt view I have an issue with MS Project right now. We have several Gantts which we would like to see the % Allocation of a person in a separate column. In the Resource Usage view it is possible to show a field called ""Remaining Availability"" but that only shows in hours not % allocation. Could someone please explain how I can create a column in the Gantt or the Resource Usage view (preferably Resource Usage view) which then contains the information on the % allocation of that particular person to that project? Thanks in advance.",res,-,-,p,0,-1
1374,"What does “CHAOS” stand for in the CHAOS Report? The Standish Group produces the CHAOS Report, with industry research on Project Management and Business Analysis standards, but what does ""CHAOS"" stand for? ""Create Havoc Around Our System""? My Google searches have yielded no discernible results. Perhaps I should be looking it up on Bing instead?...",sch,-,-,m,1,0
2103,"In the PRINCE2 process model, when is the project management team structure reviewed? During the lifecycle of a project, the project management team might evolve or change. Where in the PRINCE2 process model is this project management team structure being reviewed, and updated if required?",res,sch,-,e,1,0
3001,"Satisfying an external auditor when using Agile My company is an ISV and occasionally, prospective customers (especially in life sciences) insist on sending in auditors to check over our software development processes. We are starting to implement Scrum/Agile and my CEO is very concerned about how such an auditor would react to this. His concern (which I share to some extent) is that an auditor would expect to see a signed-off specification document against which the software is developed and then tested, and they wouldn't be happy with an incremental approach which doesn't really deliver a full specification at all. Does anyone have any experience in this respect? Is it usually necessary to fudge the issue slightly by ""signing off"" a user story, or producing a retrospective specification document etc.? My only defense to the CEO so far is that agile is almost universal in software development, so they are bound to accept it as valid, but I don't know whether this is true. I have seen some discussion about ISO 9000 and the general consensus seems to be that agile is not incompatible with that, but I don't think that's really the same question because my sole motivation is to be sure we can satisfy an auditor. FWIW We are not ISO 9000 certified and have no intention of doing so, and auditors have not had a problem with this in the past.",sta,-,-,e,1,1
5158,Is it possible to over-communicate in project team? Communication issues in projects are very common. Often the advice we give others or get from others is to communicate more and to be more transparent and most of the time it works. The question is how far we should go with this approach? Is it possible to over-communicate in project? Do you know situations where communication became a problem not because it wasn't sufficient but because there was too much of it?,comm,res,-,e,1,0
187,"Auto Scheduling in Microsoft Project Planning 2016 is not working as expected I scheduled many tasks in the AUTO schedule, However, it is not taking/changing the dates once I link all the tasks. Due to that, I selected the start date manually which is resulting in a different number of working hours for each day. Find below a screenshot of the resource sheet. Example: 7h, 6h, 16h, 13h, etc.,",sch,-,-,p,0,-1
329,"MS Project 2016 dashboard would like to ask if there is a formula or custom visual or field that will show the count of activities that are completed, On schedule and Late??",sch,-,-,p,0,-1
1960,What can I do when my boss has no project plan and the structure of application changes systematically? When boss tells you to make changes in the pre-production system and he/she doesn't know that to make these changes. Each change causes several problems because you have to change the database and system structure in other modules. This repeats every three or four days systematically and there is no project plan. Is this normal or my boss has not enough experience in project management? What can I do?,int,-,-,p,1,1
1364,Is cmp certification equivalent to 4500 credit hours required for PMP? I have done bachelors and wanted to know if getting cmp certification equals to 4500 credit hours required for pmp,NA,-,-,NA,0,-1
4288,"Scrum interactions for distributed teams Scrum by the book says ""Interactions over processes and tools"" which kind of implies that tools should be avoided. This is plain easy when the team is co-located but how does it go when a team is spread over two to three countries?",comm,res,-,e,1,0
444,"Can code base metrics be used for budgeting for software engineering or code maintenance? Recently my manager asked my team for some metrics on the code base, in order to budget for my team. These are the metrics requested: Number of source code files Code Lines Comment Lines Blank Lines Integration Point (e.g. How many systems/modules our module integrates with.) I do not think this is a good way to go about it. Can budgets be estimated this way? I hope to learn some better alternatives than the above.",cost,-,-,p,1,1
5226,"Should I work with another manager or take on his responsibilities? A manager of equal level in the org chart is in charge of a team that is responsible for a critical delivery piece in one of my projects. He generally assigns his team deadlines that have no room for error. This creates anxiety in my team and for the overall project. (Incidentally, his team is almost always late — costing money and customer satisfaction.) Our boss (the CEO) has a hands-off approach and will not intervene. However, if positioned correctly, he would support me directly working with the other manager's team. How would I work with the other manager? Should I take on his responsibilities?",comm,sta,-,i,1,1
4306,"Programs for making gantt charts  As it currently stands, Other than Microsoft Project what are some of the other programs out there that are great for making gantt charts, the best I could find is GanttProject.",sch,-,-,m,0,-1
550,"Factors that determine a project's health I'm writing an app that track's a project's health. There are several factors that go into deciding how healthy a project is. The three major factors are whether the project is on time, within budget and the burn rate of cash is such that you can finish the project on time and on budget. But even if a project is on time and within budget, there are other factors that should be taken into consideration that can affect the project's health rating. Here are some: Quality of product/service: If the quality of the product or service being delivered turns out to be unacceptable, this will affect a project's health. Risks: Any major risk that suddenly comes up has the potential of affecting the project's health. Task completion time: Even if tasks are getting completed before their deadline, if the amount of time that they are completed ahead of schedule continues to decrease, there is the risk that eventually the project will be behind schedule. This kind of belongs to ""risks"" but could be considered separate. Are there other factors that you can think of that would affect a project's health that I should be aware of?",qua,int,-,p,1,0
2788,"Actual Start Date Field Behavior Entering an Actual Start that is earlier than the Scheduled Start, say by 1 hour, is adding the 1 hour to the duration field instead of decrementing the finish date by 1 hour.",sch,-,-,p,1,0
1584,"Numbering Sprints across products Our teams work across multiple products and will often deliver functionality for these sporadically as required by priorities. e.g. Work on Product A, then Product B, then Product C, then Product B again. In a situation like this, would you number the sprints 1 to x ad infinitum, or for Prod A from 1 to x, then when starting Prod B re-set to 1 and repeat?",sch,-,-,p,1,1
4855,"Project Management textbook  Locked. This question and its answers are locked because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.    If you could recommend a single book that made you a better PM, which one would it be?",NA,-,-,NA,0,-1
701,"What tools or processes help you to keep the bigger picture in mind? I am a product manager at a small startup. Naturally, we have very limited resources and a ton of fires to put out. Now, when I start working on some specific area, I can easily craft hypotheses, experiment and improve. Additionally, I can imagine a vision and possible iterations for these isolated features. Now, the issue is that I am not working on some isolated area anymore but need to keep the whole app in mind when I work: I need to keep the overview over all parts of the app and how they interact with each other I need to prioritise features and hypotheses to test for different parts of the app All of these initiatives need to bring us closer to our vision I am a bit overwhelmed and constantly feel like I lost the overview. How do you manage the product at a higher level, take a step back and zoom out of the day to day grind? Are there processes, tools or routines that you use to make sure your next steps are a logical consequence of the vision you have for your product vs. just the next best feature that wins in the RICE score?",pro,-,-,p,1,1
4732,"Is there an active IRC channel dedicated to project management? Well, the question is the title. Are there any active channels for discussion about PM? i'm currently hanging on irc.freenode.net and it would be great to have a place to ask questions live.",NA,-,-,NA,0,-1
2144,"Why is MS Project 2016 Showing a $0 for BCWP on a completed task I am not understanding how MS Project (2016, in this case) calculates the BCWP component of Earned Value. To illustrate: below is a one-task project. The task is five days long, has one resource assigned 8/hrs per day at $10 per hr. The task starts 4/29 and finishes 5/5.The task is set to use Physical % Complete as the basis for Earned Value calculations, and the project is set to not calculate Actual Cost automatically (so I can enter an Actual Cost manually). I set the project's baseline and all works as it should: baseline cost is set to $400. Then I set the task to 100% complete and the Physical % Complete also to 100%. I enter an actual cost of $500. ACWP correctly displays that value, and correctly displays the $400 BCWS. Lastly, I set the Project Status Date to 5/9/16, after the finish date of the task. What I get is shown below. I don't understand why BCWP is $0.00. The task has been performed, it has a Budget Cost of $400. Shouldn't Project show $400 for the BCWP on this completed task? Calculating the Project has no effect. I'm not the world's greatest MS Project expert, so I suspect I'm doing something wrong here, and I'd appreciate any insights as to what my error is. Am I mis-understanding BCWP? Do I have some setting wrong? Thanks for any help.",cost,res,-,e,0,-1
1256,"Is it ok to make developer responsible for one of sprint goals? Currently in our project the situation is that we can have several goals. And it works fine for us to make a team member responsible for acheiving a particular goal. But recently I tried to pass ""Scrum Open"" test and saw a statement in one of the questions that put me in doubt. It was: ""Sprint Backlog and all of its items are collectively owned by the Development Team. No individual team member can claim ownership over an item as this would block communication and collaboration."" So I wonder: is it ok to make a developer responsible for a goal in Scrum? Does it break any of Scrum rules? What disadvantages could be there?",res,-,-,e,1,1
76,"Milestone behavior in MS Project I am working in MS Project with a project someone else set up. This project contains 29 activities which are auto scheduled, has a minimum start date constraint on an activity, and two milestones. The behavior of the milestone is odd. It seems like the milestone itself is arranging the successor events so the resources have no overlapping activities. When I take out the milestones and adjust the dependencies I have overallocation warnings in the indicator column. In addition multiple activities with the same resource are scheduled on the same date In the Gantt chart. I tried switching the activities to be manually scheduled and the same thing happens. How do milestones effect the resource over allocation? How do they affect the assignment of the start dates of the successor activities.",sch,-,-,p,1,1
2521,"Items which feed critical path activities I'm working on documenting a situation where an activity (call it 'a') which is not itself on the project critical path has a direct impact on an activity (call it 'b') which is on the project critical path. That is, any delay in 'a' results in a delay in 'b' or failure to complete 'a' results in the failure to complete 'b'. What is the most correct way to describe activity 'a'? Is it a secondary critical path or something along those lines? Thanks for any thoughts!",risk,sco,-,e,1,1
2862,"How to track team's time utilization using tfs We have started using TFS 2012 as part of moving to Scrum methodology. One challenge that we are facing is that though I can set up the capacity per day of each team member, I have no clear idea as to which employee will be free(after completing the assigned task) so that I can tag him to the next sprint. I believe this has something to do with MS Project syncing to TFS 2012. Please shed some light on this. Basically I want to look at each team member's work end date with respect to the current sprint. Is it possible in TFS 2012? If not, what is the alternative?",res,int,-,m,0,-1
509,"Necessity to micro manage off shore developers   In a large organization, every morning a manager from the HQ office has a meeting with the dev team(s) based offshore (India) and checks the work they've done. He's very tech savvy, and says that he can tell whether they're taking the piss or are honest with him always. He's able to dig in the problems and resolve them, and also provide solutions. Some might say that he's doing a great job in scrutinizing their work, especially given that these teams are responsible for millions of revenue to the company. This organization wants to move towards more agile ways of working. Is the above suitable to keep or should it be phased out, therefore moving the responsibility closer to the dev team? Is this an issue of trust? What questions would you ask to start changing this approach?",res,-,-,e,1,1
2428,"Can user stories be prioritized using labels applied by the customer? So we have a disagreement between our customer and the development team, these are some facts: We are a software development company (I have a team of 3 devs and 1 QA) Our customer is a startup, that is growing fast, and already making some money We haven't successfully adapted to a workflow, yet When we began the CTO choose pivotal tracker as our scrum board software, which works fine, however they are constantly adding labels to prioritize the items which I think doesn't make sense under the SCRUM approach where you have a sorting or order in the backlog (and in the current, per pivotal's feature) where, if you need certain story to be addressed or worked on then you need to make sure that is estimated, well defined and you just move it in the backlog to the top, developers then pick up these stories on a LIFO basis. My motivation to tell the customer that they should not prioritize stories is simple: it is useless. These priorities change all the time, sometimes on every sprint, so the only sane way to keep up would be for them to be re-prioritizing all other stories, not only the new ones which they want to be worked on first, maybe some of the older stories that last week were priority 1 are now priority 2, or even less, plus the constant and ever-changing requirements make this harder, so why bother? On my opinion this goes against the idea of the backlog and planning of the sprint, but I'm still a rookie on SCRUM so I'm wondering is this kind of prioritization a common practice in the real world?",sco,-,-,p,1,1
3117,"Which would be the best agile approach in order to manage a Process Department? I'm in charge of the ""processes and training"" department in my company. Our main activities are: Document and publish the process of the company as well as procedures and functions of each sector Develop and document efficiency metrics to measure the performance of certain sectors Provide training on demand on various issues, internally and for clients What would be an appropriate agile way to manage the tasks of such department? How would such way be best implemented in TFS?",NA,-,-,NA,1,1
4490,"Effect mapping and agile development Today, I have found a new technique for Agile Development named ""Effect Mapping"", developed by Gojko Adzic: http://gojko.net/effect-map/ The main idea behind it is about building the map tree of a project, before starting with the first agile story. It helps creating the eye bird view of the entire project, so you can start stories with a minimum viable plan. How would you mix effect mapping with agile stories? for people not using effect mapping, that i think is 99% of people, how do you approach the eye bird project view before starting with the first iteration? I feel really fustrating when you are dealing with a forest of stories before starting the first iteration.",int,-,-,p,1,0
4960,"Resources for Scrum   I'm looking for resources for Scrum. Online resources would be particulary suited, but I'm ready to consider books. There is much material available, and I have to say it's hard to choose the good ones. Can you help? I'm not only looking for tutorial, but also for documents presenting the advantages and drawbacks of the method.",NA,-,-,NA,0,-1
1357,"I created a table that shows weighted score, but what does it mean for my project? Using data I received, I made that table, however what does it actually mean in terms of my project. How does it help me decide which one has priority, or which one should be done first?",sco,-,-,p,1,0
3070,"Assessing the effectiveness of a development team   I am performing an assessment on the effectiveness of a development team, the results of which will be used as the basis of introducing change. Are there any appropriate resources or guides to assist me? ensuring nothing is missed.",res,int,-,m,1,1
1935,"Prioritizing WITHIN the priority matrix Before the Internet, when I ran my own small business, I took a seminar that taught me about using the priority matrix. That was useful, but the second part was even more useful and I'm struggling to remember how to implement it. It had you put your tasks on a grid, using rows and columns, running from Q1 to Q4 at the bottom and far right. You then compared each task to every other task and assigned it a number as to which task you felt was more important. The grid is easy enough to set up, but I'm having trouble remembering the number system and how to rate the tasks. Does this sound familiar to anyone? I know I kept the paperwork from this seminar, but after 20 years, it might be almost impossible to locate. (It's possible it didn't start with the priority matrix and was just a different way of prioritizing tasks.) Either way, at the end, you had this nice list of prioritized tasks, even if there were 50 of them. I'm looking everywhere for how to do this. If it had a name, I don't remember which makes it hard to search for.",sco,-,-,p,1,1
4178,"How do I roughly estimate the size of my project in dollar amounts? I've managed a few small projects at work, but I've never dealt with the budget. For instance, I've had a few tool projects, and two contracts, full time developers, and students. The project lasts about 8 months. How would you estimate the size of the project(in dollars) accurately?",cost,-,-,p,1,1
3693,"Is it a good Scrum practice to use large story-point numbers for effort estimation? Is it generally a good practice to have large story-points for user stories in a sprint? We are following a modified Fibonacci series of 1, 2, 3, 5, 8, 13, 20, 40, 100. We estimate the effort considering only the complexity involved, and it's all relative. So, would it be okay to have effort estimates larger than 20, or is it recommended to have less than that?",sco,-,-,p,1,0
757,"JIRA - Use incoming emails to create tickets Our team would like to use incoming emails (from Outlook) to create support tickets. I've figured out how to successfully get this working, however, the formatting is awful. When the ticket is created, it includes all the mail headers in the description. What's even worse: JIRA will create a comment that contains the entire email chain every time someone replies. The behavior that I want: Description of the ticket = The body of the first email Comments = The body of any email after the first Any suggestions? I've tried a bunch of JQL filters, but it is getting highly complicated.",NA,-,-,NA,0,-1
4814,"How do I foster communication in Project Meetings? Context: I'll admit, I've recently transitioned to a PM role at a new company, and the atmosphere is slightly different than the previous firm I worked at. I was a 'Project Manager' (note the quotations) at my previous role, but it wasnt a position that had enterprise-wide visibility. In my current role, I've got quite a handful - I like challenges - and I'm loving it. The problem I'm finding right now is that with some of the projects I'm handling, I find that I'm the only one who's talking in the team meetings. Its not that I'm afraid of speaking up in front of people, but I really really want to foster communication and get the whole group-chatter going. How do I foster this? I frequently pause and ask for any questions/ feedback, I encourage people to interrupt me or criticize me, and I've got a pretty friendly personality overall. And yet, I'm just coming off project kick off meeting this morning that barely lasted half an hour. Due to the nature of the project (its a program, really), I couldnt get into risk assessment or planning the schedule, but I'm finding that my meetings frequently last <30 minutes, whereas other PMs can easily stretch it into 60 minutes. I'm a fan for short, to-the-point meetings, but sometimes I wonder if I'm making the meetings too short to cover everything that could/should be covered. I'm wondering if its because I'm new to the company and may not know some specific history (pertaining to the project) or of the various groups. Are there any tips/ tricks you guys use to improve / foster group chatter?",comm,-,-,e,1,1
271,"How to manage Cross-teams Roadmaps and high level tasks Do you have any recommendations to track Roadmaps when working with multiple teams and cross-teams projects? Right now we work with Jira and spreadsheets, so any useful templates or tips for combining both would be highly appreciated! Thanks!",comm,res,-,e,1,0
4405,"Setting your own deadlines when your primary responsibilities cannot be scheduled I know questions about setting your own deadlines have been asked before, but I think I'm in a unique situation. I have many software development projects, and one of the managers (though not my manager) keeps constantly asking me ""when are these going to be done,"" and I constantly keep having to tell them ""I don't know"" because these are not my primary responsibilities. As IT Support, my primary responsibility is to anything that is broken. If a computer or printer on the production floor is not working, then that comes first. If the network is down, that comes first. I cannot choose when things work and when they don't. In addition to this, I have many more responsibilities that also cannot be scheduled which take priority over any software development project that I may have. That being said, I have a terribly difficult time predicting when a project will be completed because I honestly don't know when I will have time to work on it. The manager that is asking me about the completion dates of the projects has to track the progress and report it to the CEO of the company who apparently does not like being told you don't know when a project will be completed. How should I deal with this situation?",sch,-,-,p,1,1
1022,"How to get a correct duration in MS Project? I have two effort driven tasks with a work of 8h for each of them. If I delete the duration of task 5, Project fills the field with 1 day? What I need to do is update the work for this task, for example I update to 9 hrs then modifies it back to 8 hrs In this case it automatically updates the Duration as expected because John Doe works on this task at 20%. The problem is that if I delete the duration (mistake), it goes back to 1 day?. How can I be sure my Durations are correct?",sch,-,-,p,0,-1
3207,"Purchase a physical scrumboard?   Any ideas on where to acquire a pre-drawn physical scrumboard? I want to save the hassle of preparing one and to just buy it somewhere. If there are nice boards like that would also look professional and stylish I would definitely get one. Any ideas? Was anyone interested in this before? Thanks, Tim",int,sch,-,p,1,0
2720,Automatic Dependency Generator I have a list of datasets which are required to deliver a large project. The project is comprised of various products. Each product has a requirement for one or more of the datasets. I am want to create an automatic critical path showing which products should go in the most logical order. I have created a matrix in excel but it is does not generate the work path. How would I automate such a process? TL: DR - 15 Data Products require - 20 datasets - Each product only requires a few of the datasets - Some datasets are prequisites for another - Calculate the logical order of work Thanks all,sco,-,-,p,1,1
756,"How to deal with huge data selection requirement I would like to discuss about a business requirement from the client. The requirement is to allow the user to select a huge amount of data. Let me try to explain with an example. As a portfolio manager, I should be able to select a list of models from the list, so that I can create a portfolio. Here, there can be 20000+ models in the market. So the application will be jammed if we allow the user to select all the models when creating a portfolio. The client might not use more than 10 models when creating a portfolio in real scenario. But there is a requirement to select all the models available in the system. How should I handle this scenario? Do you have any alternate ways to fulfill this requirement?",sco,-,-,p,1,1
4151,"Project component - what exactly is this? In order to better track issues and plan development of an ever-expanding web application, I am setting up an instance of Trac. As developer, I will use this system primarily, along with the department coordinator and a few end-users. Most of the Trac configuration is relatively self-explanatory, however I am a little unsure how to use the components option (on the ticket form). Should I include components of the application itself (ie, product page, user administration, reports, ect) or is this field designed for higher level objects (such as users, coordinators, developers) or something else entirely? I will be using Trac to keep track of bugs, regular maintenance, server maintenance, and new development among other things.",sco,int,-,p,1,1
1105,"Do you know what Level 1,2,3 start dates end dates refer to? I am new to current company. After reviewed the old project history, I found all projects have L1 project start date, L1 project end date, L2 project start date ... etc After talk with a senior PM, he said L1 is referring to ""planned date"" before charter submit. L2 refer to the date in charter. L3 refer to the actual date (update after project close). I never heard L1,L2,L3 in my project management study. Is this concept come from some well-known PM regulation or just this company's policy?",sch,-,-,p,1,1
3125,"How do you calculate extra costs incurred if a project overruns its schedule? If a project doesn't meet its planned schedule, how do you calculate any losses per day incurred? Is there a graphing function in MS Project that I can use to depict losses per day?",cost,sch,-,p,1,0
5155,What are the fundamental differences between a functional manager and a project manager and is it possible to switch between the two? What are the fundamental differences between a functional manager and a project manager Is it possible to switch from a job as project manager to one as a functional manager? (provided I know about the specifics of the function of course),NA,-,-,NA,1,0
876,"How do you combine Waterfall with Kanban? Our team has a wide variety of work item types. Some of the work we do is related to projects, some is operational, some we generate internally ourselves. In order to be reactive to the needs of the business and other teams, we chose Kanban over Scrum. Some larger projects are still managed in a waterfall manner. This is out of our control. In these cases we start development and the stories related to the project transition through various states on the board, finally ending up in a UAT/QA column, where they stay before they get released to production at the end of the project. A project may last up to 12 months (or sometimes a bit longer). The result is we end up with a large number of tasks piling up in that column and they all get closed off/moved to Done in one go. Do we need to alter our definition of Done to allow us to close these stories to prevent them piling up? Do we alter the board, adding a new column to show a status of ""Ready to Release"". Not sure if this fixes the problem, or just moves it. If this is the answer, should this column be included in the cycle time? The project go-live date is out of our hands.",NA,-,-,NA,1,1
1635,"What documents a client should get at the end of a project   I want to build a list of useful documentation that a client can find useful, both during and after use of the system built in a project. I think that system requirements, high level and low level design, and user manual are useful. Known bugs and not implemented features can be nice as well... Do you think documents can be useful for the client? If yes, what documents would you put in the list.",int,sta,-,e,1,0
836,"Best practice for Service Acceptance criteria in User Story format? Like many in this forum, I am working in an enterprise organisation that subscribes largely to the ITIL model of service management. A discrete team that provide guidance and sign-off for service acceptance. A set of criteria used for service acceptance testing to ensure that an IT service meets its functionality and quality requirements and that the service provider is ready to operate the new service when it has been deployed This is a wrapper that envelopes the entirety of the product (normally near the end of the delivery) that dictates such things as Documented processes (who is getting called out on a Sunday if it goes down etc) SLA's OLA's BAU team This is a common constraint when attempting to deliver a Product within the Scrum Framework using the User Story pattern. It is closely linked to the idea that, in a user story, it is often hard to articulate NFR's. Most Service Acceptance Checklist's can run to 100-150 line items. Is there a best practice for how to incorporate this list into the backlog of a Scrum Team? Any answer that involves disbanding the ITIL Service Team is considered off topic for this question since Organisational Change is not possible at this time.",qua,-,-,p,1,1
5070,"When is it appropriate to name names? As the answers on this forum have re-iterated over and over, frequent transparent communication is critical, and stakeholders should be made aware of risks and problems early and often. As such, when (or is it) appropriate to name names in a status report to stakeholders when a given project is off track due to bad performance by a given team or team member? How do you balance the hit to the working relationship versus the need to draw attention to a problem that may have a broad impact?",comm,-,-,e,1,0
4666,"Should a Scrum Team be comprised of Engineers from different code bases? Or is that irrelevant? We have a ""product suite"" that is comprised of 3 main products with separate code bases, 2 C projects, 1 Java. The engineers have been placed on the same scrum team in the name of having a cross-functional team, since the three products make a complete product stack. However, engineers cannot cross code bases. It would be too much, each code base has its own architecture and purpose. This creates a situation where engineers cannot swarm or work as a team. Also, most of the stories are product specific.. However.. occasionally there are stories that ""Unify"" the 3 product stack. Should a Scrum Team be comprised of Engineers from different code bases? Pros / Cons?",res,-,-,e,1,1
2889,"(Calculation EMV) What is the business purpose of product value calculated by multiplying the probability of an event by the cost of the impact? Lets say you are going on a geological survey up on a mountain in the rural areas. ( Page 576, Head First PMP 3rd Edition, Jennifer Greene, PMP & Andrew Stellman, PMP ) Expected Monetary Value (EMV) Risk: High Winds Probability: 35% Impact: cost $48 to replace equipment Risk: Mudslide Probability: 5% Impact: lose $750 in damage costs Risk: Wind generator is usable Probability: 15% Impact: save $800 in battery costs Risk: Truck rental Unavailable Probability: 10% Impact: cost $350 last-minute rental Calculating EMV for each Risk High Winds: 35% x -$48 = -$16.80 Mudslide: 5% x -$750 = -$37.50 Wind Generator: 15% x $800 = $120 Truck Rental: 10% x -$350 = -$35 EMV = -$16.80 + (-$37.50) + $120 + (-$35) = -$30.70 I am confused about the business significance of multiplying the percentage probability by the cost impact. To elaborate, what does the probability of the risk event occurring have to do with the cost of the impact, and vice versa? what is the business purpose of product value calculated by multiplying the probability of an risk event by the cost of the impact? ( Page 576, Head First PMP 3rd Edition, Jennifer Greene, PMP & Andrew Stellman, PMP )",cost,-,-,p,1,1
806,"Is “rolling-wave planning” catered for in PRINCE2? I am struggling to bridge my PMBOK knowledge with a colleague that follows PRINCE2. I wonder if someone could help me understand whether PRINCE2 has the concept of ""rolling-wave planning"". From:Wikipedia Rolling-wave planning is the process of project planning in waves as the project proceeds and later details become clearer; similar to the techniques used in agile software development approaches like Scrum. (...) The concepts of rolling-wave planning and progressive elaboration are techniques covered in the Project Management Body of Knowledge https://en.wikipedia.org/wiki/Rolling-wave_planning",sch,-,-,p,1,0
3076,"Giving PMs a view of developer resource I run a dev team of 8. We have a few PMs here and they often ask about getting a good view of what free developer resource we have. Other parts of the business have a shared outlook calendar but for developers I feel this comes down to micro-managing. There's always work to do, but its a question of priorities. I don't want PMs questioning the fact that someone is refactoring the build or holding a code review; suggesting that this work should be superseded by some project work. We use trello for assigning people to support tickets etc, but this doesn't give a feel of how well we can resource multi-week/month projects. Anyone know of anything that works well?",res,-,-,p,1,1
